Video,Query ID,Language Query,Type,IDs,Start,End,Revision
MOT20-03,1,A backpack is worn by the individual on his back,M,426,1053,1165,
MOT20-03,1,A backpack is worn by the individual on his back,M,425,995,1025,
MOT20-03,2,A child cannot be seen as he goes behind the white structure,M,316,1325,2405,The bounding box disappears
MOT20-03,2,A child cannot be seen as he goes behind the white structure,M,317,1424,2405,The bounding box disappears
MOT20-03,3,A child disappears behind the white structure,M,316,1325,2405,The bounding box disappears
MOT20-03,3,A child disappears behind the white structure,M,317,1424,2405,The bounding box disappears
MOT20-03,4,A child goes behind the white column,M,317,1424,2405,The bounding box disappears
MOT20-03,4,A child goes behind the white column,M,317,1424,2405,The bounding box disappears
MOT20-03,5,A child isn't running and walks,M,195,2190,2254,
MOT20-03,6,A child moves behind the white structure,M,316,1325,2405,The bounding box disappears
MOT20-03,6,A child moves behind the white structure,M,317,1424,2405,The bounding box disappears
MOT20-03,7,A child slows down running and walks,M,195,2190,2254,
MOT20-05,8,A child starts walking,M,542,1797,1932,
MOT20-05,8,A child starts walking,M,542,1972,2122,
MOT20-05,8,A child starts walking,M,791,1661,1887,
MOT20-03,9,A child starts walking slowly,M,195,2190,2254,
MOT20-03,10,A child stops running and walks slowly,M,195,2190,2254,
MOT20-05,11,A child stops walking,M,542,1401,1795,
MOT20-05,11,A child stops walking,M,542,1934,1970,
MOT20-05,11,A child stops walking,M,791,1281,1410,
MOT20-03,12,A child walks behind the white column,M,316,1325,2405,The bounding box disappears
MOT20-03,12,A child walks behind the white column,M,317,1424,2405,The bounding box disappears
MOT20-03,13,A child walks behind the white structure,M,316,1325,2405,The bounding box disappears
MOT20-03,13,A child walks behind the white structure,M,317,1424,2405,The bounding box disappears
MOT20-03,14,A man adjusts his backpack,M,22,586,606,
MOT20-03,15,A man adjusts his bag behind,M,22,586,606,
MOT20-03,16,A man puts his backpack properly ,M,22,586,606,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,2,1001,1150,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,4,1017,1094,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,7,970,1143,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,8,1045,1130,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,9,971,1165,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,10,968,1129,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,11,965,1144,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,12,1053,1150,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,13,937,1150,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,14,896,1103,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,15,886,1168,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,16,864,1052,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,17,848,1043,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,18,841,1044,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,19,843,1065,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,20,849,1008,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,21,960,1060,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,22,963,1061,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,23,906,1018,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,24,764,980,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,25,784,926,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,26,774,922,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,27,620,820,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,34,707,866,The bounding box disappears after frame 841
MOT20-03,17,A pedestrian walks on the zebra crossing,M,36,1031,1096,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,38,827,1018,The bounding box disappears after frame 975
MOT20-03,17,A pedestrian walks on the zebra crossing,M,39,827,1018,The bounding box disappears after frame 984
MOT20-03,17,A pedestrian walks on the zebra crossing,M,48,991,1127,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,74,606,829,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,75,622,847,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,77,573,709,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,78,584,728,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,79,544,714,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,81,612,769,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,82,609,804,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,83,658,770,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,84,654,853,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,85,678,854,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,86,694,780,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,98,508,709,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,99,537,689,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,101,536,753,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,102,544,707,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,103,498,745,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,104,597,679,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,105,546,644,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,100,543,721,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,106,537,637,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,108,517,660,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,110,432,646,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,111,451,624,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,112,445,648,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,113,375,597,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,193,526,803,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,186,684,817,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,201,2380,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,202,2379,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,203,2356,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,223,2276,2378,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,213,2274,2383,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,222,2275,2380,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,212,2328,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,221,2303,2404,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,218,2388,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,219,2350,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,220,2366,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,216,2369,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,217,2378,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,228,2216,2395,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,229,2238,2395,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,227,2305,2395,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,236,2191,2366,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,234,2217,2370,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,226,2339,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,281,1369,1455,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,282,1298,1429,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,283,1261,1417,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,284,1263,1357,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,285,1216,1326,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,278,1323,1387,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,279,1310,1385,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,300,1082,1197,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,296,1127,1274,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,289,1203,1332,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,288,1203,1337,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,290,1217,1338,
