Video,QID,Language Query,Type,IDs,Start,End,Revision
00e92ab4,,Bird is going from the bottom of the cage to bird perch stand,M,1,3,6,
00e92ab4,,Bird is going from the bottom of the cage to bird perch stand,M,2,6,8,
00e92ab4,,Bird is going from bird perch stand to the bottom of the cage,M,2,1,4,
00e92ab4,,Bird is going from bird perch stand to the bottom of the cage,M,1,11,13,
00e92ab4,,Bird is going from food container to bird perch stand,M,1,15,18,
00e92ab4,,Bird is going from bird perch stand to food container,M,1,8,10,
00e92ab4,,Bird is stationary and remains in the same place.,O,3,1,34,
00e92ab4,,Bird is stationary and remains in the same place.,O,4,9,34,
0b4b662c,,Tiger is looking for something on the ground,M,3,1,74,
0b4b662c,,Tiger is walking towards the opposite of the camera,M,2,11,30,
0b4b662c,,Tiger is walking towards the opposite of the camera,M,1,45,69,
0b4b662c,,Tiger is walking towards the camera,M,2,43,63,
0b4b662c,,Tiger is walking towards the camera,M,1,1,30,
0b5e5d29,,Sheep that are walking are assembling in front of the gate.,M,2,1,25,
0b5e5d29,,Sheep that are walking are assembling in front of the gate.,M,3,1,28,
0b5e5d29,,Sheep that are walking are assembling in front of the gate.,M,4,1,7,
0b5e5d29,,Sheep that are walking are assembling in front of the gate.,M,5,1,10,
0b5e5d29,,Sheep entering into frame from the left side is assembling in front of the gate,M,6,2,24,
0b5e5d29,,Sheep is looking towards the camera,M,4,14,21,
0b5e5d29,,Sheep is looking at its backside,M,3,36,40,
0b5e5d29,,Sheep is turing to the left side,M,3,20,27,
0b5e5d29,,Sheep entering into frame from the left side is walking,M,7,29,42,
0b27d5f7,,Person is providing food to the goat.,M,1,50,54,
0b27d5f7,,Goat is eating food from a person,M,3,50,54,
0b27d5f7,,Goat is eating food from a storage container.,M,2,12,34,
0b27d5f7,,Goat is eating food from a storage container.,M,4,27,36,
0b27d5f7,,Goat is searching for food.,M,5,1,54,
0b27d5f7,,Goat is coming from from the middle of the group of goats to the right side of the others,M,4,1,24,
0b27d5f7,,Goat is coming from from the middle of the group of goats to the right side of the others,M,3,25,40,
0b27d5f7,,Goat is searching for food.,M,6,1,54,
0b99f522,,Cat is attacking another cat,M,1,1,7,
0b99f522,,Cat is being attacked by another cat,M,2,1,7,
0b99f522,,Cat is fighting with another cat,M,1,2,29,
0b99f522,,Cat is fighting with another cat,M,2,2,29,
0b02886a,,Bear is going through the front legs of another bear.,M,3,9,19,
0b02886a,,Bear is engaging in play with another bears.,M,1,1,29,
0b02886a,,Bear is strolling around another bear.,M,2,1,20,
0b787263,,Monkey is pushing another monkey,M,2,37,40,
0b787263,,Monkey is being pushed by another monkey,M,3,37,40,
0b787263,,Monkey is embracing another monkey.,M,1,58,69,
0b787263,,Monkey is cuddling another monkey.,M,2,58,69,
0c13e1e7,,Cat is moving from behind to the front of another cat.,M,1,1,22,
0c13e1e7,,Cat is looking towards the camera,M,2,11,18,
0c13e1e7,,Cat is looking towards the camera,M,1,7,14,
0c13e1e7,,Cat is looking towards the camera,M,1,25,29,
0c13e1e7,,Cat is looking towards the camera,M,2,32,36,
0c13e1e7,,Cat's face is being obscured by another cat,M,2,19,30,
0d1fe009,,Dog is asserting dominance in the fight with another dog.,M,1,1,179,
0d1fe009,,Dog is being dominated during the fight with another dog.,M,2,1,179,
0d876a65,,Tiger is moving its front legs on the back of another tiger from head to tail,M,1,1,45,
0d876a65,,Tiger is attempting to bite another tiger.,M,2,6,9,
0d876a65,,Tiger is attempting to bite another tiger.,M,2,15,21,
0e4aeed9,,"Person riding a horse, approaching from the right side, is heading toward the opposite side of the camera.",M,5,1,32,
0e4aeed9,,"Person on horseback approaching from the right side, is heading toward the opposite side of the camera.",M,5,1,32,
0e4aeed9,,"Person riding a horse, coming from the right side, is going toward the opposite side of the camera.",M,5,1,32,
0e4aeed9,,"Person on horseback coming from the right side, is going toward the opposite side of the camera.",M,5,1,32,
0e4aeed9,,"Horse coming from the right side, is going toward the opposite side of the camera.",M,1,1,32,
